timestamp,open,high,low,close,volume
2022-08-30,403.8500,404.1000,396.0000,398.2100,85652443
2022-08-29,402.2000,405.8400,401.1999,402.6300,64289165
2022-08-26,419.3900,419.9600,405.2500,405.3100,103086976
2022-08-25,415.2400,419.5600,414.0900,419.5100,50942252
2022-08-24,412.1100,415.1101,411.3900,413.6700,49177804
2022-08-23,412.9000,415.4200,411.7700,412.3500,49105249
2022-08-22,417.0500,417.2300,412.4000,413.3500,77695640
2022-08-19,424.9800,425.2600,421.2200,422.1400,68016902
2022-08-18,426.8600,428.6100,425.5000,427.8900,49023206
2022-08-17,425.9100,429.5000,424.5400,426.6500,63563394
2022-08-16,427.7300,431.7300,426.8800,429.7000,59289039
2022-08-15,424.7650,429.4100,424.7100,428.8600,54048280
2022-08-12,422.0300,427.2100,421.0300,427.1000,61694542
2022-08-11,422.9900,424.9500,419.2100,419.9900,59489704
2022-08-10,418.7800,420.1400,416.7200,419.9900,68665712
2022-08-09,412.2200,412.7500,410.2200,411.3500,44931772
2022-08-08,415.2500,417.6200,411.8300,412.9900,54025965
2022-08-05,409.6600,414.1500,409.6000,413.4700,56814929
2022-08-04,414.3700,415.0900,412.4400,414.1700,45656574
2022-08-03,410.3000,415.6800,410.0000,414.4500,67820555
2022-08-02,409.1200,413.0000,406.8200,408.0600,63435418
2022-08-01,409.1500,413.4100,408.4000,410.7700,69997471
2022-07-29,407.5800,413.0300,406.7700,411.9900,87003672
2022-07-28,401.8900,406.8000,398.1500,406.0700,73966563
2022-07-27,394.3600,402.8800,394.0500,401.0400,82342106
2022-07-26,393.8400,394.0600,389.9500,390.8900,52946393
2022-07-25,395.7500,396.4700,393.2100,395.5700,53631485
2022-07-22,398.9200,400.1800,392.7500,395.0900,72197332
2022-07-21,394.1600,398.8400,391.6300,398.7900,64903856
2022-07-20,392.4700,396.2600,391.0300,394.7700,71843769
2022-07-19,386.0800,392.8700,385.3900,392.2700,78505972
2022-07-18,388.3800,389.0900,380.6600,381.9500,63203626
2022-07-15,382.5500,385.2500,380.5400,385.1300,79060383
2022-07-14,373.6100,379.0498,371.0400,377.9100,89704819
2022-07-13,375.1000,381.9200,374.6580,378.8300,84224649
2022-07-12,383.6500,386.1600,378.9900,380.8300,62219178
2022-07-11,385.8500,386.8700,383.5000,384.2300,58366945
2022-07-08,387.2700,390.6400,385.6600,388.6700,72397765
2022-07-07,385.1200,389.8300,383.2670,388.9900,64525919
2022-07-06,382.1100,385.8700,379.6000,383.2500,70426244
2022-07-05,375.8800,381.9800,372.9000,381.9600,81437965
2022-07-01,376.5600,381.7000,373.8000,381.2400,74839729
2022-06-30,376.2400,380.6582,372.5600,377.2500,112508273
2022-06-29,381.2300,382.2700,378.4200,380.3400,65675999
2022-06-28,390.2300,393.1600,380.5300,380.6500,86689824
2022-06-27,391.0500,391.3600,387.4400,388.5900,66009617
2022-06-24,381.4000,390.0900,381.3650,390.0800,98050333
2022-06-23,376.6400,378.8300,372.8900,378.0600,79292135
2022-06-22,370.6200,378.7200,370.1800,374.3900,90059424
2022-06-21,371.8900,376.5250,371.8100,375.0700,76811861
2022-06-17,365.5100,369.3800,362.1700,365.8600,111113904
2022-06-16,370.5100,370.9400,364.0799,366.6500,134473288
2022-06-15,377.3600,383.9000,372.1200,379.2000,125666797
2022-06-14,376.8500,377.9400,370.5900,373.8700,104011831
2022-06-13,379.8500,381.8100,373.3000,375.0000,170004861
2022-06-10,394.8800,395.7777,389.7500,389.8000,132893864
2022-06-09,409.3400,411.7400,401.4400,401.4400,86289796
2022-06-08,413.9300,415.8200,410.3800,411.2200,64349966
2022-06-07,408.1000,416.2200,407.6100,415.7400,59272373
2022-06-06,414.7800,416.6090,410.5523,411.7900,57508858
2022-06-03,412.4000,414.0400,409.5100,410.5400,71874281
2022-06-02,409.4200,417.4400,407.0400,417.3900,79609633
2022-06-01,415.1700,416.2400,406.9300,409.5900,86585813
2022-05-31,413.5500,416.4600,410.0300,412.9300,95936980
2022-05-27,407.9100,415.3801,407.7000,415.2600,84768710
2022-05-26,398.6700,407.0400,398.4500,405.3100,82168339
2022-05-25,392.3100,399.4500,391.8900,397.3700,91472866
2022-05-24,392.5600,395.1500,386.9600,393.8900,91448831
2022-05-23,392.8300,397.7300,390.3800,396.9200,76414878
2022-05-20,393.2500,397.0300,380.5400,389.6300,131432197
2022-05-19,388.6200,394.1400,387.1100,389.4600,98510715
2022-05-18,403.5000,403.8000,390.5500,391.8600,117674545
2022-05-17,406.5300,408.5700,402.5824,408.3200,83029710
2022-05-16,399.9800,403.9700,397.6000,400.0900,78622444
2022-05-13,396.7100,403.1800,395.6100,401.7200,104174421
2022-05-12,389.3700,395.8000,385.1500,392.3400,125090753
2022-05-11,398.0700,404.0400,391.9600,392.7500,142360992
2022-05-10,404.4900,406.0800,394.8200,399.0900,132497200
2022-05-09,405.1000,406.4100,396.5000,398.1700,155586067
2022-05-06,411.1000,414.8000,405.7300,411.3400,151770811
2022-05-05,424.5500,425.0000,409.4400,413.8100,172929106
2022-05-04,417.0800,429.6600,413.7099,429.0600,141106960
2022-05-03,415.0100,418.9300,413.3600,416.3800,100028190
2022-05-02,412.0700,415.9200,405.0200,414.4800,158312526
2022-04-29,423.5900,425.8700,411.2100,412.0000,145491088
2022-04-28,422.2900,429.6400,417.6000,427.8100,105449088
2022-04-27,417.2400,422.9200,415.0100,417.2700,122029990
2022-04-26,425.8300,426.0400,416.0700,416.1000,100647304
2022-04-25,423.6700,428.6900,418.8400,428.5100,119647748
2022-04-22,436.9100,438.0825,425.4400,426.0400,132471772
2022-04-21,448.5400,450.0100,437.1000,438.0600,85417327
2022-04-20,446.9200,447.5700,443.4800,444.7100,64140001
2022-04-19,437.8600,445.8000,437.6800,445.0400,77821013
2022-04-18,436.8100,439.7500,435.6100,437.9700,66002498
2022-04-14,443.5500,444.7301,437.6800,437.7900,97869451
2022-04-13,438.0300,444.1100,437.8400,443.3100,74070394
2022-04-12,443.0800,445.7500,436.6501,438.2900,84363635
2022-04-11,444.1100,445.0000,439.3900,439.9200,89770538
2022-04-08,447.9700,450.6300,445.9400,447.5700,79272711
2022-04-07,445.5900,450.6900,443.5300,448.7700,78097214
2022-04-06,446.8900,448.9300,443.4700,446.5200,106897970
2022-04-05,455.2200,457.8300,449.8200,451.0300,72741037
2022-04-04,453.1300,456.9100,452.2600,456.8000,59601000
2022-04-01,453.3100,453.4600,449.1400,452.9200,89048773
2022-03-31,457.8900,458.7600,451.1600,451.6400,121699948
2022-03-30,460.3400,461.1950,456.4650,458.7000,79666942
2022-03-29,460.0200,462.0700,457.1800,461.5500,86581542
2022-03-28,452.0600,455.9100,450.0600,455.9100,68529767
2022-03-25,451.1600,452.9800,448.4300,452.6900,76123606
2022-03-24,445.9400,450.5000,444.7600,450.4900,64736892
2022-03-23,446.9100,448.4900,443.7100,443.8000,79426098
2022-03-22,445.8600,450.5800,445.8600,449.5900,73464881
2022-03-21,444.3400,446.4600,440.6800,444.3900,87350111
2022-03-18,438.0000,444.8600,437.2200,444.5200,102665985
2022-03-17,433.5900,441.0700,433.1900,441.0700,102676870
2022-03-16,429.8900,435.6800,424.8000,435.6200,144954805
2022-03-15,419.7700,426.8400,418.4200,426.1700,106219117
2022-03-14,420.8900,424.5500,415.7900,417.0000,95729188
2022-03-11,428.1200,428.7700,419.5300,420.0700,95636277
2022-03-10,422.5200,426.4300,420.4400,425.4800,93972655
2022-03-09,425.1400,429.5100,422.8200,427.4100,116990765
2022-03-08,419.6200,427.2100,415.1200,416.2500,164772744
2022-03-07,431.5500,432.3018,419.3600,419.4300,137896560
2022-03-04,431.7500,433.3700,427.8800,432.1700,114083256
2022-03-03,440.4700,441.1100,433.8000,435.7100,105501715
2022-03-02,432.3700,439.7200,431.5700,437.8900,117726525
2022-03-01,435.0400,437.1700,427.1100,429.9800,137785908
2022-02-28,432.0300,438.2000,430.7000,436.6300,145615029
2022-02-25,429.6100,437.8400,427.8600,437.7500,121804459
2022-02-24,411.0200,428.7600,410.6400,428.3000,213942946
2022-02-23,432.6600,433.2600,421.3500,421.9500,132578005
2022-02-22,431.8900,435.5000,425.8600,429.5700,122145129
2022-02-18,437.3300,438.6600,431.8200,434.2300,132642896
2022-02-17,443.2200,446.5652,436.4200,437.0600,102259108
2022-02-16,443.9300,448.0550,441.9400,446.6000,84863585
2022-02-15,443.7300,446.2800,443.1800,446.1000,88659503
2022-02-14,439.9200,441.6000,435.3400,439.0200,123006262
2022-02-11,449.4100,451.6050,438.9400,440.4600,153214597
2022-02-10,451.3400,457.7100,447.2000,449.3200,140103712
2022-02-09,455.2200,457.8800,455.0050,457.5400,92589929
2022-02-08,446.7300,451.9200,445.2200,450.9400,81012036
2022-02-07,449.5100,450.9900,445.8500,447.2600,84472859
2022-02-04,446.3500,452.7800,443.8300,448.7000,118454352
2022-02-03,450.9500,452.9700,445.7100,446.6000,118024442
2022-02-02,455.5000,458.1200,453.0500,457.3500,117360953
2022-02-01,450.6800,453.6300,446.9384,452.9500,123155382
2022-01-31,441.2400,450.2800,439.8100,449.9100,152251425
2022-01-28,432.6800,442.0000,427.8200,441.9500,164457370
2022-01-27,438.2600,441.5900,429.4500,431.2400,149878307
2022-01-26,440.7200,444.0400,428.8600,433.3800,186391088
2022-01-25,433.0600,439.7200,427.1500,434.4700,167997325
2022-01-24,432.0300,440.3800,420.7600,439.8400,252496719
2022-01-21,445.5600,448.0600,437.9500,437.9800,202271241
2022-01-20,453.7500,458.7400,444.5000,446.7500,122379696
2022-01-19,458.1300,459.6124,451.4600,451.7500,104945382
2022-01-18,459.7400,459.9600,455.3100,456.4900,107848237
2022-01-14,461.1900,465.0900,459.9000,464.7200,95890948
2022-01-13,472.1900,472.8800,463.4400,464.5300,91173121
2022-01-12,471.5900,473.2000,468.9400,471.0200,67605444
2022-01-11,465.2300,469.8500,462.0500,469.7500,73332978
2022-01-10,462.7000,465.7400,456.5973,465.5100,119361989
2022-01-07,467.9500,469.2000,464.6500,466.0900,85111593
2022-01-06,467.8900,470.8200,465.4300,467.9400,86858900
2022-01-05,477.1600,477.9800,468.2801,468.3800,104538940
2022-01-04,479.2200,479.9800,475.5800,477.5500,71178678
2022-01-03,476.3000,477.8500,473.8500,477.7100,72668233
2021-12-31,475.6400,476.8600,474.6700,474.9600,63617437
2021-12-30,477.9300,479.0000,475.6700,476.1600,55329041
2021-12-29,476.9800,478.5600,475.9200,477.4800,54502964
2021-12-28,477.7200,478.8100,476.0600,476.8700,47274585
2021-12-27,472.0600,477.3100,472.0100,477.2600,56808619
2021-12-23,468.7500,472.1900,468.6400,470.6000,56439745
2021-12-22,462.7900,467.8100,462.5800,467.6900,58890223
2021-12-21,458.6100,463.2100,456.3100,463.0600,69806260
2021-12-20,454.4800,455.4000,451.1400,454.9800,107134822
2021-12-17,461.5500,464.7400,458.0600,459.8700,135636510
2021-12-16,472.5700,472.8700,464.8000,466.4500,116568626
2021-12-15,463.4200,470.8600,460.7400,470.6000,116899251
2021-12-14,463.0900,465.7400,460.2500,463.3600,97264128
2021-12-13,470.1900,470.5600,466.2700,466.5700,87724680
2021-12-10,469.2300,470.9000,466.5100,470.7400,77159757
2021-12-09,468.1500,469.6291,466.1400,466.3500,61272568
2021-12-08,468.7000,470.0000,466.8300,469.5200,72238777
2021-12-07,464.4100,468.8800,458.6546,468.2800,95484688
2021-12-06,456.1300,460.7900,453.5600,458.7900,98977532
2021-12-03,459.1700,460.3000,448.9200,453.4200,137331647
2021-12-02,450.7300,459.0700,450.3100,457.4000,127637758
2021-12-01,461.6400,464.6700,450.2900,450.5000,132485835
2021-11-30,462.0000,464.0300,455.3000,455.5600,148559598
2021-11-29,464.0700,466.5600,461.7300,464.6000,86268818
2021-11-26,462.3400,463.9000,457.7700,458.9700,112669636
2021-11-24,466.0600,469.5700,465.1900,469.4400,61858813
2021-11-23,467.2200,469.0950,464.4500,468.1900,73206538
2021-11-22,470.8900,473.5400,467.3500,467.5700,72761954
2021-11-19,469.6100,470.9400,468.5000,468.8900,57315573
2021-11-18,469.2400,470.0100,466.3400,469.7300,50625607
2021-11-17,469.0000,469.1900,467.4800,468.1400,47858289
2021-11-16,467.1500,470.4850,467.0700,469.2800,48857502
2021-11-15,468.6400,468.8100,466.2300,467.4300,46980500
2021-11-12,465.1200,467.8600,464.1100,467.2700,51018081
2021-11-11,465.2100,465.2900,463.7500,463.7700,34848495
2021-11-10,465.5800,467.3800,462.0400,463.6200,69429653
2021-11-09,469.3200,469.5700,465.8800,467.3800,50232447
2021-11-08,469.7000,470.2300,468.2031,468.9300,50405194
2021-11-05,469.2800,470.6500,466.9200,468.5300,66390563
2021-11-04,465.3600,467.0000,464.9900,466.9100,52847087
2021-11-03,461.3000,465.1500,460.8300,464.7200,52509825
2021-11-02,460.2200,462.2300,460.0800,461.9000,47840033
2021-11-01,460.3000,460.7021,458.2000,460.0400,47474495
2021-10-29,455.8700,459.5600,455.5600,459.2500,70162424
2021-10-28,455.4600,458.4000,455.4500,458.3200,51437944
2021-10-27,456.4500,457.1600,453.8600,453.9400,72437997
2021-10-26,457.2000,458.4900,455.5600,455.9600,56075116
2021-10-25,454.2800,455.9000,452.3900,455.5500,45214507
2021-10-22,453.1300,454.6700,451.0500,453.1200,58845088
2021-10-21,451.7700,453.8290,451.3100,453.5900,41305438
2021-10-20,451.1300,452.7320,451.0100,452.4100,49571569
2021-10-19,448.9200,450.7100,448.2700,450.6400,46996827
2021-10-18,443.9700,447.5500,443.2700,447.1900,62213228
2021-10-15,444.7500,446.2600,444.0900,445.8700,66260210
2021-10-14,439.0800,442.6600,438.5800,442.5000,70236825
2021-10-13,434.7100,436.0500,431.5400,435.1800,72973979
2021-10-12,435.6700,436.1000,432.7800,433.6200,71181163
2021-10-11,437.1600,440.2600,434.6200,434.6900,65233285
2021-10-08,439.4800,439.8900,437.1900,437.8600,74557404
2021-10-07,438.3900,441.6800,438.2000,438.6600,72437499
2021-10-06,429.2700,435.1199,427.5400,434.9000,113032245
2021-10-05,430.2400,435.4900,429.3900,433.1000,90682520
2021-10-04,433.0000,433.9600,426.3600,428.6400,128569957
2021-10-01,430.9800,436.0329,427.2300,434.2400,129240106
2021-09-30,436.0200,436.7700,428.7800,429.1400,140505979
2021-09-29,435.1900,437.0400,433.8500,434.4500,82329213
2021-09-28,439.6900,440.0400,432.9400,433.7200,130436306
2021-09-27,442.8100,444.0500,441.9000,442.6400,61371108
2021-09-24,441.4400,444.6700,441.2100,443.9100,62094837
2021-09-23,439.8500,444.8900,439.6000,443.1800,76395981
2021-09-22,436.0500,440.0300,433.7470,437.8600,102350143
2021-09-21,436.5300,437.9100,433.0700,433.6300,92526112
2021-09-20,434.8800,436.5600,428.8600,434.0400,166445534
2021-09-17,444.9200,445.3700,441.0200,441.4000,118425037
2021-09-16,447.3200,448.3600,444.0200,447.1700,77786735
2021-09-15,444.6200,448.4100,443.4400,447.8800,78792222
2021-09-14,448.1200,448.3400,443.2200,444.1700,78197140
2021-09-13,448.6400,448.9200,444.1100,446.5800,83738649
2021-09-10,451.0400,451.4900,445.3100,445.4400,89948174
2021-09-09,450.7000,452.5700,448.7200,448.9800,57970407
2021-09-08,450.8900,451.6700,448.8600,450.9100,56181907
2021-09-07,452.7100,452.8100,450.7423,451.4600,51671534
2021-09-03,451.9800,453.6300,451.5500,453.0800,47234364
2021-09-02,453.3200,454.0500,451.9100,453.1900,42830867
2021-09-01,452.5600,453.1100,451.5450,451.8000,48721378
2021-08-31,452.1300,452.4900,450.9200,451.5600,59300213
2021-08-30,450.9700,453.0700,450.7100,452.2300,48357355
2021-08-27,447.1200,450.6500,447.0600,450.2500,77235113
2021-08-26,448.6100,448.8600,446.1600,446.2600,57829572
2021-08-25,448.1700,449.4570,447.7700,448.9100,40529711
2021-08-24,447.9700,448.5400,447.4200,447.9700,38744714
2021-08-23,445.1600,448.2300,443.4355,447.2600,54973038
2021-08-20,440.2300,443.7100,439.7100,443.3600,72008712
2021-08-19,436.2700,441.1400,436.1200,439.8600,92812246
2021-08-18,442.9600,444.6250,438.9200,439.1800,89351931
2021-08-17,444.2400,444.9600,440.8500,444.0400,92673933
2021-08-16,444.5300,447.1100,442.8700,446.9700,73930864
2021-08-13,445.5900,445.9400,445.0700,445.9200,38673164
2021-08-12,443.6200,445.2572,442.6600,445.1100,38942418
2021-08-11,443.8200,443.8820,442.6200,443.7800,44034340
2021-08-10,442.6100,443.4400,441.8800,442.6800,43339275
2021-08-09,442.4600,442.7950,441.3100,442.1300,41222585
2021-08-06,442.1000,442.9400,441.8000,442.4900,46930008
2021-08-05,440.2200,441.8500,439.8800,441.7600,38969659
2021-08-04,439.7800,441.1243,438.7300,438.9800,46732212
2021-08-03,438.4400,441.2800,436.1000,441.1500,58053896
2021-08-02,440.3400,440.9300,437.2100,437.5900,58783297
2021-07-30,437.9100,440.0600,437.7700,438.5100,68951202
2021-07-29,439.8150,441.8000,439.8100,440.6500,45910298
2021-07-28,439.6800,440.3000,437.3100,438.8300,52472360
2021-07-27,439.9100,439.9400,435.9900,439.0100,67397137
2021-07-26,439.3100,441.0300,439.2600,441.0200,43719187
2021-07-23,437.5200,440.3000,436.7900,439.9400,63766637
2021-07-22,434.7400,435.7200,433.6900,435.4600,47878539
2021-07-21,432.3400,434.7000,431.0111,434.5500,64724389
2021-07-20,425.6800,432.4200,424.8300,431.0600,99608174
2021-07-19,426.1900,431.4089,421.9700,424.9700,147987000
2021-07-16,436.0100,436.0600,430.9200,431.3400,75874662
2021-07-15,434.8100,435.5300,432.7200,434.7500,55126358
2021-07-14,437.4000,437.9200,434.9100,436.2400,64130352
2021-07-13,436.2400,437.8400,435.3100,435.5900,52911312
2021-07-12,435.4300,437.3500,434.9700,437.0800,52889585
2021-07-09,432.5300,435.8400,430.7140,435.5200,76238584
2021-07-08,428.7800,431.7300,427.5200,430.9200,97595232
2021-07-07,433.6600,434.7600,431.5100,434.4600,63549456
2021-07-06,433.7800,434.0100,430.0100,432.9300,68710419
2021-07-02,431.6700,434.1000,430.5218,433.7200,57697668
2021-07-01,428.8700,430.6000,428.8000,430.4300,53441027
2021-06-30,427.2100,428.7800,427.1800,428.0600,64827858
2021-06-29,427.8800,428.5600,427.1300,427.7000,35970515
2021-06-28,427.1700,427.6500,425.8900,427.4700,53159581
2021-06-25,425.9000,427.0943,425.5500,426.6100,58129525
2021-06-24,424.8900,425.5500,424.6200,425.1000,45110288
2021-06-23,423.1900,424.0500,422.5100,422.6000,49445414
2021-06-22,420.8500,424.0000,420.0800,423.1100,57700303
2021-06-21,416.8000,421.0600,415.9300,420.8600,72822028
2021-06-18,417.0900,417.8281,414.7000,414.9200,118676302
2021-06-17,421.6700,423.0200,419.3200,421.9700,90949659
2021-06-16,424.6300,424.8700,419.9200,422.1100,79250069
2021-06-15,425.4200,425.4600,423.5400,424.4800,51508508
2021-06-14,424.4300,425.3700,423.1000,425.2600,42358478
2021-06-11,424.2000,424.4300,422.8200,424.3100,45570828
2021-06-10,422.9600,424.6300,421.5500,423.6100,51020147
2021-06-09,423.1800,423.2600,421.4100,421.6500,48436342
2021-06-08,423.1100,423.2100,420.3200,422.2800,47134279
2021-06-07,422.5900,422.7800,421.1900,422.1900,51555032
2021-06-04,420.7500,422.9200,418.8422,422.6000,55938789
2021-06-03,417.8500,419.9900,416.2800,418.7700,58138763
2021-06-02,420.3700,421.2300,419.2900,420.3300,49097061
2021-06-01,422.5700,422.7200,419.2000,419.6700,54216625
2021-05-28,420.9700,421.2500,419.7900,420.0400,58520164
2021-05-27,420.1700,420.7200,418.9851,419.2900,56707677
2021-05-26,418.8700,419.6100,417.7600,419.0700,43088618
2021-05-25,420.3300,420.7100,417.6200,418.2400,57451396
2021-05-24,417.3400,420.3200,417.0800,419.1700,51376702
2021-05-21,416.8700,418.2000,414.4500,414.9400,76578662
2021-05-20,411.8000,416.6250,411.6700,415.2800,78022218
2021-05-19,406.9200,411.0500,405.3300,410.8600,106467052
2021-05-18,415.8000,416.0600,411.7700,411.9400,59810238
2021-05-17,415.3900,416.3900,413.3600,415.5200,65129221
2021-05-14,413.2100,417.4900,413.1800,416.5800,82201629
2021-05-13,407.0700,412.3500,407.0200,410.2800,106393963
2021-05-12,411.2300,412.5900,404.0000,405.4100,134811046
2021-05-11,413.1000,415.2700,410.0600,414.2100,116887975
2021-05-10,422.5000,422.7400,417.8100,417.9400,81852446
2021-05-07,419.8900,422.8150,419.1600,422.1200,67733790
2021-05-06,415.8300,419.2100,413.6750,419.0700,74321368
2021-05-05,417.3800,417.6300,415.1500,415.7500,39960661
2021-05-04,416.0700,416.6000,411.6700,415.6200,101591166
